Operator,Description,Parameters
RT,Report Type,
RN,Railroad Name,"Pennsylvania Railroad
Brooklyn Eastern District Station
Williamsburg, Brooklyn, New York"
LN,Location Name,North 4th St
PRNTR,Printer Name,
YPC,Yard Pattern Comment,
VT,Valid,Valid Dez 08, 1914, 21:53
TN,Track name,Team Tracks
Set_To,Road,Number,Type,Model,Length,Weight,Consist,Owner,Track,Location,Destination,Comment
[Team Tracks]     ,CNJ,982,ES,0-4-0t,40,,Einzeln,,Team Tracks,North 4th St,No Waybill,,
Set_To,Road,Number,Type,Length,Weight,Load,Load_Type,Hazardous,Color,Kernel,Kernel_Size,Owner,Track,Location,Destination,Dest&Track,Final_Dest,FD&Track,Comment,Drop_Comment,Pickup_Comment,RWE
[Crane]           ,ACL,9075,XM,40,40,Empty,L,False,Red,,0,,Team Tracks,North 4th St,North 4th St,Freight Station,Any Line,,,,,
[Team Tracks]     ,AT&SF,6695,GA,40,40,Empty,L,False,Red,,0,,Team Tracks,North 4th St,No Waybill,,Any Line,,,,,
[Team Tracks]     ,B&A,1097,FM,40,40,Empty,L,False,Red,,0,,Team Tracks,North 4th St,Pier Float,Float Tracks,Any Line,,,,,
[Team Tracks]     ,B&A,9815,XM,40,40,Empty,L,False,Red,,0,,Team Tracks,North 4th St,Pier Float,Float Tracks,Any Line,,,,,
[Team Tracks]     ,B&O,5408,XM,40,40,Empty,L,False,Red,,0,,Team Tracks,North 4th St,No Waybill,,Any Line,,,,,
[Team Tracks]     ,B&O,6319,GA,40,40,Empty,L,False,Red,,0,,Team Tracks,North 4th St,No Waybill,,Any Line,,,,,
[Team Tracks]     ,CNJ,3352,XM,40,40,Empty,L,False,Red,,0,,Team Tracks,North 4th St,North 4th St,Freight Station,Any Line,,,,,
[Team Tracks]     ,CNJ,4424,XM,40,40,Empty,L,False,Red,,0,,Team Tracks,North 4th St,No Waybill,,Any Line,,,,,
[Team Tracks]     ,CNJ,7173,XM,40,40,Empty,L,False,Red,,0,,Team Tracks,North 4th St,No Waybill,,Any Line,,,,,
[Team Tracks]     ,CNJ,7887,XM,40,40,Empty,L,False,Red,,0,,Team Tracks,North 4th St,North 4th St,Freight Station,Any Line,,,,,
[Team Tracks]     ,CNJ,8705,GA,40,40,Empty,L,False,Red,,0,,Team Tracks,North 4th St,Pier Float,Float Tracks,Any Line,,,,,
[Team Tracks]     ,CNJ,9508,XM,40,40,Empty,L,False,Red,,0,,Team Tracks,North 4th St,North 4th St,Freight Station,Any Line,,,,,
[Team Tracks]     ,ER,2138,XM,40,40,Empty,L,False,Red,,0,,Team Tracks,North 4th St,No Waybill,,Any Line,,,,,
[Team Tracks]     ,ER,5756,XM,40,40,Empty,L,False,Red,,0,,Team Tracks,North 4th St,No Waybill,,Any Line,,,,,
[Team Tracks]     ,ER,5935,XM,40,40,Empty,L,False,Red,,0,,Team Tracks,North 4th St,North 4th St,Freight Station,Any Line,,,,,
[Team Tracks]     ,ER,9640,XM,40,40,Empty,L,False,Red,,0,,Team Tracks,North 4th St,No Waybill,,Any Line,,,,,
[Team Tracks]     ,FGEX,0013,RS,40,40,Empty,L,False,Red,,0,,Team Tracks,North 4th St,No Waybill,,Any Line,,,,,
[Team Tracks]     ,FGEX,0877,RS,40,40,Empty,L,False,Red,,0,,Team Tracks,North 4th St,No Waybill,,Any Line,,,,,
[Team Tracks]     ,FGEX,1370,RS,40,40,Empty,L,False,Red,,0,,Team Tracks,North 4th St,No Waybill,,Any Line,,,,,
[Team Tracks]     ,FGEX,2395,RS,40,40,Empty,L,False,Red,,0,,Team Tracks,North 4th St,No Waybill,,Any Line,,,,,
[Team Tracks]     ,FGEX,6868,RS,40,40,Empty,L,False,Red,,0,,Team Tracks,North 4th St,No Waybill,,Any Line,,,,,
[Team Tracks]     ,FGEX,9506,RS,40,40,Empty,L,False,Red,,0,,Team Tracks,North 4th St,Pier Float,Float Tracks,Any Line,,,,,
[Team Tracks]     ,FGEX,9669,RS,40,40,Empty,L,False,Red,,0,,Team Tracks,North 4th St,Pier Float,Float Tracks,Any Line,,,,,
[Team Tracks]     ,LV,7785,XM,40,40,Empty,L,False,Red,,0,,Team Tracks,North 4th St,North 4th St,Freight Station,Any Line,,,,,
[Team Tracks]     ,M&P,0530,XM,40,40,Empty,L,False,Red,,0,,Team Tracks,North 4th St,North 4th St,Freight Station,Any Line,,,,,
[Team Tracks]     ,M&P,3995,XM,40,40,Empty,L,False,Red,,0,,Team Tracks,North 4th St,North 4th St,Freight Station,Any Line,,,,,
[Team Tracks]     ,M&P,7277,GA,40,40,Empty,L,False,Red,,0,,Team Tracks,North 4th St,Pier Float,Float Tracks,Any Line,,,,,
[Team Tracks]     ,NYC,1653,FM,40,40,Empty,L,False,Red,,0,,Team Tracks,North 4th St,No Waybill,,Any Line,,,,,
[Team Tracks]     ,NYC,8038,XM,40,40,Empty,L,False,Red,,0,,Team Tracks,North 4th St,No Waybill,,Any Line,,,,,
[Team Tracks]     ,NYC,9526,XM,40,40,Empty,L,False,Red,,0,,Team Tracks,North 4th St,North 4th St,Freight Station,Any Line,,,,,
[Team Tracks]     ,NYNH&H,1433,GA,40,40,Empty,L,False,Red,,0,,Team Tracks,North 4th St,Pier Float,Float Tracks,Any Line,,,,,
[Team Tracks]     ,NYNH&H,9488,XM,40,40,Empty,L,False,Red,,0,,Team Tracks,North 4th St,No Waybill,,Any Line,,,,,
[Team Tracks]     ,P&R,5481,XM,40,40,Empty,L,False,Red,,0,,Team Tracks,North 4th St,North 4th St,Freight Station,Any Line,,,,,
[Team Tracks]     ,P&R,7852,XM,40,40,Empty,L,False,Red,,0,,Team Tracks,North 4th St,No Waybill,,Any Line,,,,,
[Team Tracks]     ,PFEX,4401,RS,40,40,Empty,L,False,Red,,0,,Team Tracks,North 4th St,Pier Float,Float Tracks,Any Line,,,,,
[Team Tracks]     ,PGCC,3950,HK,40,40,Empty,L,False,Red,,0,,Team Tracks,North 4th St,Pier Float,Float Tracks,Any Line,,,,,
[Team Tracks]     ,PGCC,9316,HK,40,40,Empty,L,False,Red,,0,,Team Tracks,North 4th St,No Waybill,,Any Line,,,,,
[Team Tracks]     ,PRR,2731,TG,40,40,Empty,L,False,Red,,0,,Team Tracks,North 4th St,Pier Float,Float Tracks,Any Line,,,,,
[Team Tracks]     ,PRR,7941,XM,40,40,Empty,L,False,Red,,0,,Team Tracks,North 4th St,Pier Float,Float Tracks,Any Line,,,,,
[Team Tracks]     ,SFRD,1736,RS,40,40,Empty,L,False,Red,,0,,Team Tracks,North 4th St,No Waybill,,Any Line,,,,,
[Team Tracks]     ,SP,5167,XM,40,40,Empty,L,False,Red,,0,,Team Tracks,North 4th St,No Waybill,,Any Line,,,,,
[Team Tracks]     ,SP,6408,GA,40,40,Empty,L,False,Red,,0,,Team Tracks,North 4th St,No Waybill,,Any Line,,,,,
[Team Tracks]     ,UTLX,7679,TG,40,40,Empty,L,False,Red,,0,,Team Tracks,North 4th St,No Waybill,,Any Line,,,,,
[Team Tracks]     ,WJ&S,7187,XM,40,40,Empty,L,False,Red,,0,,Team Tracks,North 4th St,No Waybill,,Any Line,,,,,
