Operator,Description,Parameters
SWL,Switch List
RN,Railroad Name,"Pennsylvania Railroad
Brooklyn Eastern District Station
Williamsburg, Brooklyn, New York"
LN,Location Name,North 4th St
PRNTR,Printer Name,
SWLC,Switch List Comment,
VT,Valid,1/10/1914 08:00
TN,Train Name,Float Switch
TM,Train Manifest Description,
DL,Departure Location Name,Pier Float
DT,Departure Time,00:00
ETA,Expected Time Arrival,00:04
TA,Train Arrives,North 4th St,East
PC,Pick up car,PL,3950,XM,40,Empty,Red,North 4th St,Team Tracks,North 4th St,Freight Station,,,,,,,,,,,,,0,,,empty
PC,Pick up car,WJ&S,2279,XM,40,Empty,Red,North 4th St,Team Tracks,North 4th St,Freight Station,,,,,,,,,,,,,0,,,empty
PC,Pick up car,ACL,4434,XM,40,Empty,Red,North 4th St,Team Tracks,North 4th St,Freight Station,,,,,,,,,,,,,0,,,empty
PC,Pick up car,ACL,4177,XM,40,Empty,Red,North 4th St,Team Tracks,North 4th St,Freight Station,,,,,,,,,,,,,0,,,empty
PC,Pick up car,AT&SF,5288,XM,40,Empty,Red,North 4th St,Team Tracks,North 4th St,Freight Station,,,,,,,,,,,,,0,,,empty
PC,Pick up car,PL,1471,GA,40,Empty,Red,North 4th St,Crane,Pier Float,Float Tracks,,,,,,,,,,,,,0,,,empty
PC,Pick up car,P&R,9600,FM,40,Empty,Red,North 4th St,Crane,Pier Float,Float Tracks,,,,,,,,,,,,,0,,,empty
PC,Pick up car,PL,2291,XM,40,lcl,Red,North 4th St,Freight Station,Pier Float,Float Tracks,,,,,,,,,,,,,0,,,load
PC,Pick up car,PRR,1431,TG,40,Empty,Red,North 4th St,Team Tracks,Pier Float,Float Tracks,,,,,,,,,,,,,0,,,empty
PC,Pick up car,FGEX,9442,RS,40,Empty,Red,North 4th St,Team Tracks,Pier Float,Float Tracks,,,,,,,,,,,,,0,,,empty
PC,Pick up car,P&R,7741,FM,40,Empty,Red,North 4th St,Team Tracks,Pier Float,Float Tracks,,,,,,,,,,,,,0,,,empty
PC,Pick up car,B&O,6144,GA,40,Empty,Red,North 4th St,Team Tracks,Pier Float,Float Tracks,,,,,,,,,,,,,0,,,empty
PC,Pick up car,WJ&S,1455,GA,40,Empty,Red,North 4th St,Team Tracks,Pier Float,Float Tracks,,,,,,,,,,,,,0,,,empty
PC,Pick up car,MDX,3236,RS,40,Empty,Red,North 4th St,Team Tracks,Pier Float,Float Tracks,,,,,,,,,,,,,0,,,empty
PC,Pick up car,B&O,0226,XM,40,Empty,Red,North 4th St,Team Tracks,Pier Float,Float Tracks,,,,,,,,,,,,,0,,,empty
PC,Pick up car,PL,9032,XM,40,Empty,Red,North 4th St,Team Tracks,Pier Float,Float Tracks,,,,,,,,,,,,,0,,,empty
PC,Pick up car,CNJ,4885,XM,40,Empty,Red,North 4th St,Team Tracks,Pier Float,Float Tracks,,,,,,,,,,,,,0,,,empty
PC,Pick up car,WJ&S,2497,XM,40,Empty,Red,North 4th St,Team Tracks,Pier Float,Float Tracks,,,,,,,,,,,,,0,,,empty
