Number,Road,Type,Load,Location,Track,Final Destination,Track,Train,Moves,Date and Time
2291,PL,,E,North 4th St,Freight Station,,,,0,2023/01/10 07:49:24
2497,WJ&S,,E,North 4th St,Team Tracks,,,,0,2023/01/10 07:49:24
1747,TCX,,E,North 4th St,Team Tracks,,,,0,2023/01/10 07:49:24
5836,DL&W,,E,North 4th St,Team Tracks,,,,0,2023/01/10 07:49:24
9519,MDX,,E,North 4th St,Team Tracks,,,,0,2023/01/10 07:49:24
1240,PRR,,E,North 4th St,Team Tracks,,,,0,2023/01/10 07:49:24
1035,DL&W,,E,North 4th St,Team Tracks,,,,0,2023/01/10 07:49:24
3698,FGEX,,E,North 4th St,Team Tracks,,,,0,2023/01/10 07:49:24
9600,P&R,,E,North 4th St,Crane,,,,0,2023/01/10 07:49:24
0420,FGEX,,E,Pier Float,Float Tracks,,,,0,2023/01/10 07:49:24
8024,ER,,E,Pier Float,Float Tracks,,,,0,2023/01/10 07:49:24
7741,P&R,,E,North 4th St,Team Tracks,,,,0,2023/01/10 07:49:24
9511,ER,,E,North 4th St,Team Tracks,,,,0,2023/01/10 07:49:24
7499,FGEX,,E,North 4th St,Team Tracks,,,,0,2023/01/10 07:49:24
5316,PL,,E,North 4th St,Team Tracks,,,,0,2023/01/10 07:49:24
1471,PL,,E,North 4th St,Crane,,,,0,2023/01/10 07:49:24
9774,PL,,E,Pier Float,Float Tracks,,,,0,2023/01/10 07:49:24
6084,PRR,,E,North 4th St,Team Tracks,,,,0,2023/01/10 07:49:24
1455,WJ&S,,E,North 4th St,Team Tracks,,,,0,2023/01/10 07:49:25
5974,WJ&S,,E,North 4th St,Team Tracks,,,,0,2023/01/10 07:49:25
5437,SP,,E,North 4th St,Freight Station,,,,0,2023/01/10 07:49:25
0730,MDX,,E,Pier Float,Float Tracks,,,,0,2023/01/10 07:49:25
5288,AT&SF,,E,North 4th St,Team Tracks,,,,0,2023/01/10 07:49:25
4434,ACL,,E,North 4th St,Team Tracks,,,,0,2023/01/10 07:49:25
5964,NYNH&H,,E,Pier Float,Float Tracks,,,,0,2023/01/10 07:49:25
6144,B&O,,E,North 4th St,Team Tracks,,,,0,2023/01/10 07:49:25
1431,PRR,,E,North 4th St,Team Tracks,,,,0,2023/01/10 07:49:25
