Number,Road,Type,Load,Location,Track,Final Destination,Track,Train,Moves,Date and Time
3405,ACL,,E,Pier Float,Float Tracks,,,,0,2023/01/10 07:49:25
3405,ACL,XM,E,Pier Float,Float Tracks,,,,0,2023/01/10 07:52:01
3405,ACL,XM,E,Pier Float,Float Tracks,,,,0,2023/01/10 07:54:04
3405,ACL,XM,E,Pier Float,Float Tracks,,,,0,2023/01/10 07:59:26
3405,ACL,XM,E,Pier Float,Float Tracks,,,,0,2023/01/10 08:00:42
3405,ACL,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:21
3405,ACL,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:36
3405,ACL,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:40
3405,ACL,XM,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:47
3405,ACL,,E,Pier Float,Float Tracks,,,,0,2023/01/12 10:04:47
3405,ACL,,E,Pier Float,Float Tracks,,,,0,2023/01/12 10:04:51
