Number,Road,Type,Load,Location,Track,Final Destination,Track,Train,Moves,Date and Time
6820,CNJ,,E,Pier Float,Float Tracks,,,,0,2023/01/10 07:49:25
6820,CNJ,FM,E,Pier Float,Float Tracks,,,,0,2023/01/10 07:52:01
6820,CNJ,FM,E,Pier Float,Float Tracks,,,,0,2023/01/10 07:54:04
6820,CNJ,FM,E,Pier Float,Float Tracks,,,,0,2023/01/10 07:59:26
6820,CNJ,FM,E,Pier Float,Float Tracks,,,,0,2023/01/10 08:00:42
6820,CNJ,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:21
6820,CNJ,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:36
6820,CNJ,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:40
6820,CNJ,FM,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:47
6820,CNJ,,E,Pier Float,Float Tracks,,,,0,2023/01/12 10:04:48
6820,CNJ,,E,Pier Float,Float Tracks,,,,0,2023/01/12 10:04:51
