Number,Road,Type,Load,Location,Track,Final Destination,Track,Train,Moves,Date and Time
8024,ER,,E,Pier Float,Float Tracks,,,,0,2023/01/10 07:49:24
8024,ER,GA,E,Pier Float,Float Tracks,,,,0,2023/01/10 07:52:01
8024,ER,GA,E,Pier Float,Float Tracks,,,,0,2023/01/10 07:54:04
8024,ER,GA,E,Pier Float,Float Tracks,,,,0,2023/01/10 07:59:26
8024,ER,GA,E,Pier Float,Float Tracks,,,,0,2023/01/10 08:00:42
8024,ER,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:21
8024,ER,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:36
8024,ER,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:40
8024,ER,GA,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:47
8024,ER,,E,Pier Float,Float Tracks,,,,0,2023/01/12 10:04:47
8024,ER,,E,Pier Float,Float Tracks,,,,0,2023/01/12 10:04:51
