Number,Road,Type,Load,Location,Track,Final Destination,Track,Train,Moves,Date and Time
0420,FGEX,,E,Pier Float,Float Tracks,,,,0,2023/01/10 07:49:24
0420,FGEX,RS,E,Pier Float,Float Tracks,,,,0,2023/01/10 07:52:01
0420,FGEX,RS,E,Pier Float,Float Tracks,,,,0,2023/01/10 07:54:04
0420,FGEX,RS,E,Pier Float,Float Tracks,,,,0,2023/01/10 07:59:26
0420,FGEX,RS,E,Pier Float,Float Tracks,,,,0,2023/01/10 08:00:42
0420,FGEX,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:21
0420,FGEX,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:36
0420,FGEX,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:40
0420,FGEX,RS,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:47
0420,FGEX,,E,Pier Float,Float Tracks,,,,0,2023/01/12 10:04:47
0420,FGEX,,E,Pier Float,Float Tracks,,,,0,2023/01/12 10:04:51
