Number,Road,Type,Load,Location,Track,Final Destination,Track,Train,Moves,Date and Time
0730,MDX,,E,Pier Float,Float Tracks,,,,0,2023/01/10 07:49:25
0730,MDX,RS,E,Pier Float,Float Tracks,,,,0,2023/01/10 07:52:01
0730,MDX,RS,E,Pier Float,Float Tracks,,,,0,2023/01/10 07:54:04
0730,MDX,RS,E,Pier Float,Float Tracks,,,,0,2023/01/10 07:59:26
0730,MDX,RS,E,Pier Float,Float Tracks,,,,0,2023/01/10 08:00:42
0730,MDX,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:21
0730,MDX,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:36
0730,MDX,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:40
0730,MDX,RS,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:47
0730,MDX,,E,Pier Float,Float Tracks,,,,0,2023/01/12 10:04:47
0730,MDX,,E,Pier Float,Float Tracks,,,,0,2023/01/12 10:04:51
