Number,Road,Type,Load,Location,Track,Final Destination,Track,Train,Moves,Date and Time
5964,NYNH&H,,E,Pier Float,Float Tracks,,,,0,2023/01/10 07:49:25
5964,NYNH&H,XM,E,Pier Float,Float Tracks,,,,0,2023/01/10 07:52:01
5964,NYNH&H,XM,E,Pier Float,Float Tracks,,,,0,2023/01/10 07:54:04
5964,NYNH&H,XM,E,Pier Float,Float Tracks,,,,0,2023/01/10 07:59:26
5964,NYNH&H,XM,E,Pier Float,Float Tracks,,,,0,2023/01/10 08:00:42
5964,NYNH&H,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:21
5964,NYNH&H,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:36
5964,NYNH&H,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:40
5964,NYNH&H,XM,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:47
5964,NYNH&H,,E,Pier Float,Float Tracks,,,,0,2023/01/12 10:04:47
5964,NYNH&H,,E,Pier Float,Float Tracks,,,,0,2023/01/12 10:04:51
