Number,Road,Type,Load,Location,Track,Final Destination,Track,Train,Moves,Date and Time
1976,PGCC,,E,Pier Float,Float Tracks,,,,0,2023/01/10 07:49:25
1976,PGCC,HK,E,Pier Float,Float Tracks,,,,0,2023/01/10 07:52:01
1976,PGCC,HK,E,Pier Float,Float Tracks,,,,0,2023/01/10 07:54:04
1976,PGCC,HK,E,Pier Float,Float Tracks,,,,0,2023/01/10 07:59:26
1976,PGCC,HK,E,Pier Float,Float Tracks,,,,0,2023/01/10 08:00:42
1976,PGCC,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:21
1976,PGCC,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:36
1976,PGCC,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:40
1976,PGCC,HK,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:47
1976,PGCC,,E,Pier Float,Float Tracks,,,,0,2023/01/12 10:04:47
1976,PGCC,,E,Pier Float,Float Tracks,,,,0,2023/01/12 10:04:51
