Number,Road,Type,Load,Location,Track,Final Destination,Track,Train,Moves,Date and Time
9774,PL,,E,Pier Float,Float Tracks,,,,0,2023/01/10 07:49:24
9774,PL,XM,E,Pier Float,Float Tracks,,,,0,2023/01/10 07:52:01
9774,PL,XM,E,Pier Float,Float Tracks,,,,0,2023/01/10 07:54:04
9774,PL,XM,E,Pier Float,Float Tracks,,,,0,2023/01/10 07:59:26
9774,PL,XM,E,Pier Float,Float Tracks,,,,0,2023/01/10 08:00:42
9774,PL,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:21
9774,PL,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:36
9774,PL,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:40
9774,PL,XM,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:47
9774,PL,,E,Pier Float,Float Tracks,,,,0,2023/01/12 10:04:47
9774,PL,,E,Pier Float,Float Tracks,,,,0,2023/01/12 10:04:51
