Number,Road,Type,Load,Location,Track,Final Destination,Track,Train,Moves,Date and Time
6325,PRR,,E,Pier Float,Float Tracks,,,,0,2023/01/10 07:49:25
6325,PRR,HK,E,Pier Float,Float Tracks,,,,0,2023/01/10 07:52:01
6325,PRR,HK,E,Pier Float,Float Tracks,,,,0,2023/01/10 07:54:04
6325,PRR,HK,E,Pier Float,Float Tracks,,,,0,2023/01/10 07:59:26
6325,PRR,HK,E,Pier Float,Float Tracks,,,,0,2023/01/10 08:00:42
6325,PRR,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:21
6325,PRR,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:36
6325,PRR,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:40
6325,PRR,HK,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:47
6325,PRR,,E,Pier Float,Float Tracks,,,,0,2023/01/12 10:04:47
6325,PRR,,E,Pier Float,Float Tracks,,,,0,2023/01/12 10:04:51
