Pennsylvania Railroad
Brooklyn Eastern District Station
Williamsburg, Brooklyn, New York

Arbeitsort: North 4th St
Valid Dez 08, 1914, 21:53

Schalterliste für Gleis

Titel: Team Tracks
[Team Tracks]     CNJ   982     0-4-0 Einzeln  No Waybill      
[Crane]           ACL   9075    XM     L Empty  Any Line    
[Team Tracks]     AT&SF 6695    GA     L Empty  Any Line    
[Team Tracks]     B&A   1097    FM     L Empty  Any Line    
[Team Tracks]     B&A   9815    XM     L Empty  Any Line    
[Team Tracks]     B&O   5408    XM     L Empty  Any Line    
[Team Tracks]     B&O   6319    GA     L Empty  Any Line    
[Team Tracks]     CNJ   3352    XM     L Empty  Any Line    
[Team Tracks]     CNJ   4424    XM     L Empty  Any Line    
[Team Tracks]     CNJ   7173    XM     L Empty  Any Line    
[Team Tracks]     CNJ   7887    XM     L Empty  Any Line    
[Team Tracks]     CNJ   8705    GA     L Empty  Any Line    
[Team Tracks]     CNJ   9508    XM     L Empty  Any Line    
[Team Tracks]     ER    2138    XM     L Empty  Any Line    
[Team Tracks]     ER    5756    XM     L Empty  Any Line    
[Team Tracks]     ER    5935    XM     L Empty  Any Line    
[Team Tracks]     ER    9640    XM     L Empty  Any Line    
[Team Tracks]     FGEX  0013    RS     L Empty  Any Line    
[Team Tracks]     FGEX  0877    RS     L Empty  Any Line    
[Team Tracks]     FGEX  1370    RS     L Empty  Any Line    
[Team Tracks]     FGEX  2395    RS     L Empty  Any Line    
[Team Tracks]     FGEX  6868    RS     L Empty  Any Line    
[Team Tracks]     FGEX  9506    RS     L Empty  Any Line    
[Team Tracks]     FGEX  9669    RS     L Empty  Any Line    
[Team Tracks]     LV    7785    XM     L Empty  Any Line    
[Team Tracks]     M&P   0530    XM     L Empty  Any Line    
[Team Tracks]     M&P   3995    XM     L Empty  Any Line    
[Team Tracks]     M&P   7277    GA     L Empty  Any Line    
[Team Tracks]     NYC   1653    FM     L Empty  Any Line    
[Team Tracks]     NYC   8038    XM     L Empty  Any Line    
[Team Tracks]     NYC   9526    XM     L Empty  Any Line    
[Team Tracks]     NYNH& 1433    GA     L Empty  Any Line    
[Team Tracks]     NYNH& 9488    XM     L Empty  Any Line    
[Team Tracks]     P&R   5481    XM     L Empty  Any Line    
[Team Tracks]     P&R   7852    XM     L Empty  Any Line    
[Team Tracks]     PFEX  4401    RS     L Empty  Any Line    
[Team Tracks]     PGCC  3950    HK     L Empty  Any Line    
[Team Tracks]     PGCC  9316    HK     L Empty  Any Line    
[Team Tracks]     PRR   2731    TG     L Empty  Any Line    
[Team Tracks]     PRR   7941    XM     L Empty  Any Line    
[Team Tracks]     SFRD  1736    RS     L Empty  Any Line    
[Team Tracks]     SP    5167    XM     L Empty  Any Line    
[Team Tracks]     SP    6408    GA     L Empty  Any Line    
[Team Tracks]     UTLX  7679    TG     L Empty  Any Line    
[Team Tracks]     WJ&S  7187    XM     L Empty  Any Line    

